player,team,position,position_group,age,minutes,PC1,PC2,PC3,observed_features,imputed_features,distance_per90,sprints_per90,intensive_runs_per90,duels_won_per90,aerial_duels_won_per90,tackles_won_per90,interceptions_per90,fouls_committed_per90,fouls_drawn_per90,crosses_per90,top_speed_kmh
Vladimír Coufal,Hoffenheim,"DF,MF",DF,32.0,3012.0,2.0376884145226986,-0.8257684779682077,0.5502868812090377,11,0,12.03585657370518,21.96215139442231,83.75498007968127,9.651394422310757,1.7629482071713147,1.045816733067729,1.1653386454183268,0.9561752988047809,1.254980079681275,6.245019920318725,33.98
Wouter Burger,Hoffenheim,MF,MF,24.0,2430.0,1.3740530463288068,1.3104603196477322,0.38515702336042396,11,0,12.374074074074075,13.222222222222221,71.92592592592592,11.037037037037036,2.888888888888889,1.5555555555555556,0.7037037037037037,2.111111111111111,0.4444444444444444,3.2962962962962963,33.6
Alessio Castro-Montes,Köln,"MF,DF",MF,28.0,672.0,2.797840809593679,0.011221053326330036,0.4772561851114272,11,0,12.066964285714285,21.964285714285715,75.80357142857143,11.116071428571429,1.7410714285714286,2.2767857142857144,0.6696428571428571,1.7410714285714286,1.3392857142857142,7.633928571428571,32.17
Cenk Özkacar,Köln,DF,DF,24.0,1791.0,-1.032368288261061,1.261677573662224,1.5304921104210738,11,0,10.688442211055277,11.909547738693467,51.35678391959799,9.095477386934673,3.4170854271356785,1.306532663316583,1.2060301507537687,0.5527638190954773,0.25125628140703515,0.1507537688442211,33.76
Denis Huseinbasic,Köln,MF,MF,24.0,726.0,-0.294702500064496,-0.7761326445786805,0.6752353696475764,11,0,12.272727272727273,12.892561983471074,60.99173553719008,5.8264462809917354,0.6198347107438017,1.115702479338843,0.6198347107438017,0.9917355371900827,0.9917355371900827,0.12396694214876033,32.47
Eric Martel,Köln,"MF,DF",MF,23.0,2559.0,-0.2547057230442801,2.6718205314612606,-0.468189508068645,11,0,11.88042203985932,7.913247362250879,50.6799531066823,10.762016412661195,3.6576787807737396,1.1254396248534584,1.2309495896834701,1.477139507620164,1.7936694021101993,0.38686987104337633,31.53
Jahmai Simpson-Pusey,Köln,DF,DF,19.0,863.0,-2.119550880054494,0.8117742035827433,1.1780768420826175,11,0,10.011587485515642,9.490150637311704,37.960602549246815,8.238702201622248,3.0243337195828506,0.8342989571263036,1.2514484356894553,0.4171494785631518,0.4171494785631518,0.2085747392815759,32.72
Jakub Kamiński,Köln,"MF,FW",MF,23.0,3016.0,0.9643795691132051,-2.0833350321369215,0.7088920896245556,11,0,11.464854111405835,22.291114058355436,79.0185676392573,7.54973474801061,0.44761273209549074,0.8057029177718833,0.7460212201591512,0.4177718832891247,0.8355437665782494,3.4316976127320955,34.94
Jan Thielmann,Köln,"MF,FW",MF,23.0,1540.0,0.15001828236932405,-1.1023983068371979,0.07336494299716999,11,0,11.290909090909091,16.83116883116883,69.66233766233766,7.246753246753247,1.1688311688311688,0.7012987012987013,0.7597402597402597,0.6428571428571429,1.344155844155844,2.103896103896104,33.48
Joël Schmied,Köln,DF,DF,26.0,1078.0,-0.7251311321413408,0.34960082590059105,0.4982498334606635,11,0,10.669758812615955,11.187384044526901,48.172541743970314,7.9313543599257885,2.0037105751391464,0.75139146567718,0.9183673469387755,1.3358070500927643,0.6679035250463822,0.4174397031539889,34.34
Kristoffer Lund,Köln,"DF,MF",DF,23.0,2276.0,1.5695910912924025,-0.5648958547788274,0.27060779346361197,11,0,11.273725834797892,22.97451669595782,77.62302284710017,9.68804920913884,1.5026362038664323,1.0281195079086116,1.1072056239015817,0.5140597539543058,1.5817223198594024,3.28207381370826,35.11
Linton Maina,Köln,"MF,FW",MF,26.0,1023.0,0.7428458365941565,-2.2092742564690124,0.09183118472006212,11,0,11.709677419354838,22.521994134897362,78.47507331378299,7.653958944281525,0.26392961876832843,0.5278592375366569,0.3519061583577713,0.7038123167155426,0.5278592375366569,2.19941348973607,35.15
Luca Waldschmidt,Köln,"FW,MF",FW,29.0,677.0,1.0124696040255812,-1.2175617209536034,-0.3320364387720724,11,0,13.62629246676514,18.877400295420976,83.61890694239291,7.976366322008863,1.329394387001477,0.3988183161004431,0.5317577548005908,1.1964549483013294,0.7976366322008862,2.9246676514032495,32.85
Marius Bülter,Köln,"FW,MF",FW,32.0,1597.0,-0.4041777616318594,-0.35305540205652075,-1.0571230272234724,11,0,11.778334376956794,10.256731371321226,56.69380087664371,9.016906700062618,2.5923606762680027,0.2817783343769568,0.45084533500313084,0.9580463368816531,1.408891671884784,3.494051346274264,32.91
Marvin Schwäbe,Köln,GK,GK,30.0,3060.0,-6.13838068382,-0.6095945634887631,-1.0718708905988246,9,2,5.970588235294118,0.20588235294117646,3.264705882352941,,,0.029411764705882353,0.08823529411764706,0.029411764705882353,0.11764705882352941,0.0,28.5
Ragnar Ache,Köln,FW,FW,27.0,1718.0,-0.935951938595577,3.075702058526074,-2.54153192457892,11,0,10.472060535506403,13.672875436554133,52.753201396973225,13.09662398137369,7.124563445867287,0.4190919674039581,0.20954598370197905,0.9429569266589057,1.519208381839348,0.05238649592549476,33.23
Rav van den Berg,Köln,DF,DF,21.0,1131.0,-1.8017216859964869,0.04646482649422882,1.4011533720685774,11,0,10.090185676392572,10.26525198938992,43.36870026525199,5.968169761273209,2.7055702917771884,0.636604774535809,1.1140583554376657,0.7957559681697612,0.23872679045092837,0.07957559681697612,34.09
Said El Mala,Köln,"FW,MF",FW,18.0,1956.0,0.2846768187162462,-1.2848965419446468,-0.4773167447711878,11,0,10.090490797546012,20.613496932515336,59.217791411042946,9.294478527607362,0.7822085889570553,0.6441717791411042,0.36809815950920244,0.6901840490797546,1.0582822085889572,1.794478527607362,35.91
Sebastian Sebulonsen,Köln,"DF,MF",DF,25.0,2498.0,-0.021706551977439065,-1.1745135853641868,0.9174636135343007,11,0,11.284227381905524,17.69015212169736,62.87029623698959,8.286629303442755,1.5132105684547639,0.9367493995196157,0.6124899919935949,0.3963170536429143,0.32425940752602084,2.413931144915933,34.99
Timo Hübers,Köln,DF,DF,29.0,675.0,-0.7981324283999118,2.3272758700618446,0.11402158844269263,11,0,10.613333333333332,9.866666666666667,47.86666666666667,10.933333333333334,3.3333333333333335,1.2,1.3333333333333333,1.0666666666666667,1.3333333333333333,0.13333333333333333,31.94
Tom Krauß,Köln,"MF,DF",MF,24.0,1780.0,1.346876283242217,1.5738538667023625,1.1899681883418307,11,0,11.062921348314607,18.10112359550562,66.23595505617978,11.629213483146067,1.3651685393258426,2.1741573033707864,1.3146067415730338,1.1629213483146068,1.1123595505617978,0.7078651685393258,33.97
Ísak Jóhannesson,Köln,MF,MF,22.0,1809.0,0.3726669360011607,-2.320085490235662,0.8566038094314707,11,0,12.512437810945274,18.45771144278607,81.59203980099502,5.870646766169155,0.7960199004975125,0.746268656716418,0.39800995024875624,0.6965174129353234,0.24875621890547264,3.2338308457711444,33.38
Aleix García,Leverkusen,MF,MF,28.0,2667.0,-0.624127176152354,-2.014920274715118,1.0868366263277889,11,0,11.622047244094487,9.68503937007874,55.950506186726656,6.850393700787402,0.5736782902137233,0.6749156355455568,0.7424071991001124,0.26996625421822273,0.641169853768279,4.150731158605175,34.02
Arthur,Leverkusen,MF,MF,22.0,1136.0,1.5846432468295633,0.2063960197775604,0.6503689490069492,11,0,11.202464788732394,23.68838028169014,71.85739436619718,10.45774647887324,1.267605633802817,0.9507042253521126,1.426056338028169,1.505281690140845,0.7922535211267606,2.61443661971831,34.93
Christian Kofane,Leverkusen,FW,FW,19.0,1239.0,1.6498606003569065,0.28025247201561015,-1.9873908470240225,11,0,11.012106537530267,27.167070217917676,81.86440677966101,10.169491525423728,2.179176755447942,0.5084745762711864,0.14527845036319612,2.179176755447942,1.234866828087167,0.0,34.85
